gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	CTL	HSC	HSC-like	Mono	Mono-like	NK	Plasma	Prog	Prog-like	T	cDC-like	earlyEry	lateEry
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.0	0.072	0.0	0.015	0.0	0.0	0.056	0.0	0.0	0.008	0.004	0.095	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.0	0.072	0.0	0.015	0.0	0.0	0.056	0.0	0.0	0.008	0.004	0.095	0.0	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.0	0.084	0.194	0.198	0.0	0.526	0.153	0.166	0.0	0.188	0.035	0.232	0.135	0.072
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.0	0.073	0.0	0.033	0.0	0.087	0.067	0.0	0.143	0.01	0.019	0.095	0.004	0.0
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.0	0.171	0.04	0.018	0.0	0.151	0.179	0.0	0.0	0.019	0.136	0.0	0.01	0.009
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.067
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.067
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.131	0.0	0.006	0.032	0.0	0.006	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.035	0.0	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.067
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	0.878	2.104	0.366	0.431	0.0	1.952	1.571	0.333	0.481	0.365	0.762	0.919	0.32	0.188
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.381	0.0	0.0	0.0	0.0	0.243	0.0	0.0	0.0	0.001	0.0	0.0	0.004	0.0
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	0.878	2.104	0.366	0.431	0.0	1.952	1.571	0.333	0.481	0.365	0.762	0.919	0.32	0.188
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.0	6.48	0.0	0.053	0.0	0.0	6.706	0.499	0.0	0.04	0.29	0.0	0.063	0.344
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.0	0.089	0.161	0.005	0.0	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.108	0.13
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.032	0.0	0.159
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.032	0.0	0.159
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.0	0.0	0.02	0.015	0.0	0.0	0.025	0.0	0.0	0.0	0.0	0.0	0.0	0.0
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.131	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.032	0.0	0.159
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.0	0.0	0.04	0.023	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.037	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	1.386	0.0	0.113	0.049	3.355	2.256	0.07	0.0	0.224	0.078	0.013	1.915	0.027	0.135
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.175	0.182	0.452	0.252	0.0	0.292	0.334	0.376	0.217	0.272	0.236	0.422	0.371	0.551
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.0	0.0	0.04	0.023	0.0	0.0	0.0	0.0	0.0	0.001	0.0	0.0	0.037	0.0
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.65	0.103	0.231	0.582	0.0	0.0	0.085	0.0	0.324	0.513	0.071	0.297	0.059	0.063
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.0	0.19	0.0	0.015	0.0	0.076	0.76	0.166	0.544	0.004	0.335	0.0	0.006	0.034
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.291	0.323	0.182	0.048	0.0	0.0	0.148	0.398	0.0	0.029	0.025	0.178	0.048	0.027
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.262	0.0	0.126	0.088	0.0	0.045	0.02	0.0	0.112	0.058	0.005	0.018	0.056	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.0	0.0	0.0	0.004	0.0	0.0	0.043	0.0	0.0	0.0	0.052	0.0	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.462	0.0	0.05	0.092	0.335	0.309	0.0	0.0	0.0	0.066	0.012	0.112	0.036	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.462	0.0	0.05	0.092	0.335	0.309	0.0	0.0	0.0	0.066	0.012	0.112	0.036	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.0	0.0	0.0	0.004	0.0	0.0	0.043	0.0	0.0	0.0	0.052	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.0	0.0	0.0	0.004	0.0	0.0	0.043	0.0	0.0	0.0	0.052	0.0	0.0	0.0
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.0	0.263	0.086	0.157	3.996	1.835	0.2	0.288	0.255	0.12	0.304	0.094	0.037	0.095
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.0	0.09	0.118	0.015	0.0	0.419	0.147	0.0	0.0	0.017	0.042	0.0	0.037	0.017
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.16	0.0	0.0	0.0	0.0	0.0	0.0	0.398	0.0	0.0	0.0	0.0	0.0	0.0
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS01BCB9360	0.0	0.0	0.112	0.009	0.0	0.087	0.151	0.0	0.0	0.004	0.026	0.0	0.004	0.013
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS07D71C546	0.0	0.245	0.337	0.081	0.0	0.579	0.046	0.0	0.0	0.053	0.022	0.178	0.175	0.065
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS027CDEA08	0.0	0.245	0.337	0.081	0.0	0.579	0.046	0.0	0.0	0.053	0.022	0.178	0.175	0.065
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS012B7C21D	0.0	0.071	0.109	0.051	0.0	0.0	0.061	0.0	0.0	0.05	0.03	0.054	0.012	0.01
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS00D153A8A	0.206	0.103	0.063	0.024	0.0	0.19	0.0	0.0	0.0	0.007	0.0	0.0	0.002	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.0	0.071	0.109	0.051	0.0	0.0	0.061	0.0	0.0	0.05	0.03	0.054	0.012	0.01
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.16	0.362	0.349	0.293	0.335	0.773	0.57	0.0	0.58	0.215	0.325	0.161	0.278	0.468
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A34EE366	0.0	0.071	0.109	0.051	0.0	0.0	0.061	0.0	0.0	0.05	0.03	0.054	0.012	0.01
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	0.0	0.0	0.0	0.0	0.0	0.081	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.0	6.48	0.0	0.053	0.0	0.0	6.706	0.499	0.0	0.04	0.29	0.0	0.063	0.344
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	0.0	6.48	0.0	0.053	0.0	0.0	6.706	0.499	0.0	0.04	0.29	0.0	0.063	0.344
CCL22	O00626	False	CCL22_HUMAN		CPI-SS0AEC33FF1	0.0	0.103	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.003	0.0	0.0	0.009	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0CC738ABC	0.0	0.0	0.024	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.662	0.0	0.366	0.058	0.0	0.0	0.035	0.0	0.0	0.038	0.0	0.662	0.241	0.005
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	0.583	0.019	0.106	0.0	0.583	0.074	0.0	0.0	0.035	0.104	0.0	0.931	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS09FAC4977	0.0	0.0	0.024	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.757	0.01	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	0.331	0.0	0.566	0.158	2.659	6.516	0.0	0.0	0.0	0.03	0.0	1.125	0.072	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.662	0.0	0.366	0.058	0.0	0.0	0.035	0.0	0.0	0.038	0.0	0.662	0.241	0.005
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.0	1.361	0.059	0.186	0.0	0.764	0.134	0.0	0.0	0.066	0.185	0.185	0.916	0.0
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.233	0.115	0.036	0.0	0.0	0.0	0.0	0.0	0.021	0.0	0.946	0.102	0.031
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.0	0.078	0.0	0.014	0.0	0.0	0.052	0.0	0.0	0.008	0.016	0.0	0.0	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.0	0.0	0.144	0.158	0.0	0.0	0.021	0.0	0.084	0.198	0.017	0.095	0.018	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.0	0.0	0.0	0.003	0.335	0.759	0.0	0.0	0.0	0.013	0.0	0.084	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.0	0.078	0.447	0.355	0.225	0.448	0.242	0.0	0.105	0.358	0.089	1.033	0.174	0.644
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.0	0.0	0.144	0.158	0.0	0.0	0.021	0.0	0.084	0.198	0.017	0.095	0.018	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.0	0.078	0.0	0.014	0.0	0.0	0.052	0.0	0.0	0.008	0.016	0.0	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.0	0.078	0.0	0.014	0.0	0.0	0.052	0.0	0.0	0.008	0.016	0.0	0.0	0.0
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.181	0.156	0.041	0.062	0.0	0.041	0.015	0.0	0.0	0.034	0.085	0.0	0.012	0.098
WNT3	P56703	False	WNT3_HUMAN		CPI-SS0E7523314	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.007	0.02	0.0	0.039	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.0	0.103	0.023	0.023	0.0	0.0	0.033	0.0	0.0	0.012	0.036	0.018	0.0	0.017
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.0	0.073	0.0	0.033	0.0	0.087	0.067	0.0	0.143	0.01	0.019	0.095	0.004	0.0
TNFRSF10C	O14798	False	TR10C_HUMAN		CPI-SS01ECFDA18	0.0	0.0	0.0	0.006	0.37	0.24	0.0	0.0	0.0	0.004	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	0.0	0.089	0.0	0.018	0.0	0.0	0.044	0.0	0.214	0.03	0.041	0.0	0.0	0.005
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.0	0.089	0.0	0.018	0.0	0.0	0.044	0.0	0.214	0.03	0.041	0.0	0.0	0.005
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07A0F4D73	0.0	0.089	0.0	0.018	0.0	0.0	0.044	0.0	0.214	0.03	0.041	0.0	0.0	0.005
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0883B7EE4	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.04
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0E63AB61E	0.175	0.223	0.239	0.143	0.0	0.08	0.292	0.0	0.0	0.104	0.158	0.164	0.128	0.166
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.0	0.0	0.034	0.035	0.0	0.0	0.026	0.0	0.105	0.026	0.006	0.0	0.0	0.0
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.0	0.0	0.0	0.007	0.37	0.0	0.026	0.0	0.0	0.005	0.005	0.045	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.0	0.197	0.089	0.087	0.0	0.0	0.0	0.0	0.097	0.038	0.08	0.049	0.021	0.055
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.0	0.0	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D1AE5C79	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.04
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.0	0.0	0.028	0.036	0.0	0.086	0.0	0.0	0.0	0.024	0.01	0.0	0.039	0.003
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0E1A8414D	0.0	0.0	0.0	0.023	0.0	0.0	0.056	0.0	0.0	0.004	0.0	0.018	0.017	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
