gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	B	CTL	HSC	HSC-like	Mono	Mono-like	NK	Plasma	Prog	Prog-like	T	cDC-like	earlyEry	lateEry
CD226	Q15762	False	CD226_HUMAN		CPI-SS06207F70E	0.0	0.089	0.0	0.0	0.0	0.0	0.14	0.0	0.0	0.0	0.172	0.0	0.112	0.309
CDH1	P12830	False	CADH1_HUMAN		CPI-SS0CC5DCE80	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.042	1.515
SPP1	P10451	False	OSTP_HUMAN		CPI-SS02AB0C3E0	0.0	0.0	0.218	0.032	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.058	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0703338F5	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
HGF	P14210	False	HGF_HUMAN		CPI-SS03722104E	0.0	0.0	0.0	0.022	0.008	0.044	0.0	0.0	0.0	0.003	0.0	0.074	0.0	0.0
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0F2C6A4D4	0.0	0.0	0.0	0.01	0.0	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.292
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.0	0.0	0.01	0.0	0.008	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.292
FGF7	P21781	False	FGF7_HUMAN		CPI-SS00E68BB92	0.0	0.123	0.0	0.007	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.0	0.0	0.218	0.032	0.0	0.0	0.0	0.0	0.0	0.01	0.0	0.0	0.058	0.0
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.089	0.262	0.0	0.27	0.135	0.152	0.356	0.068	0.054	0.13	0.088	0.084	0.15	0.155
TGFB3	P10600	False	TGFB3_HUMAN		CPI-SS0D46E2B45	0.0	0.107	0.207	0.006	0.0	0.0	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS01158CABF	0.0	0.053	0.0	0.0	0.04	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-C	HLAC	False	HLAC		CPI-SS034D36D2F	3.786	5.805	1.023	2.494	3.772	4.201	6.798	5.592	1.054	2.132	2.906	4.226	1.795	2.14
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	0.092	0.077	0.338	0.134	0.241	0.214	0.267	0.0	0.0	0.143	0.053	0.276	0.194	0.0
KIR2DL3	P43628	False	KI2L3_HUMAN		CPI-SS02CF96625	0.0	0.0	0.0	0.0	0.0	0.0	0.038	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.22	0.0	0.0	0.0	0.032	0.0	0.0	0.0	0.0	0.006	0.0	0.0	0.014	0.0
ADGRG5	Q8IZF4	False	AGRG5_HUMAN		CPI-SS0AFC7BACF	0.089	0.0	0.0	0.092	0.01	0.0	0.036	0.0	0.0	0.104	0.089	0.015	0.0	0.0
FFAR2	O15552	False	FFAR2_HUMAN		CPI-SS072E1E27A	0.0	0.053	0.0	0.0	0.04	0.045	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
HLA-C	HLAC	False	HLAC		CPI-SS0917CBD53	3.786	5.805	1.023	2.494	3.772	4.201	6.798	5.592	1.054	2.132	2.906	4.226	1.795	2.14
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS064281234	0.092	0.077	0.338	0.134	0.241	0.214	0.267	0.0	0.0	0.143	0.053	0.276	0.194	0.0
CD80	P33681	False	CD80_HUMAN		CPI-SS08F13AD5C	0.243	0.0	0.0	0.0	0.0	0.014	0.0	0.0	0.0	0.002	0.01	0.065	0.014	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS076BC3BA6	1.475	0.38	0.282	1.1	0.4	0.981	0.449	0.373	0.533	0.864	0.112	2.092	0.295	0.0
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	0.0	0.0	0.0	0.033	0.0	0.006	0.064	0.0	0.0	0.022	0.0	0.051	0.0	0.0
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.0	0.0	0.0	0.008	0.0	0.0	0.057	0.0	0.0	0.011	0.0	0.0	0.058	0.0
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.0	0.0	0.0	0.028	0.019	0.033	0.0	0.0	0.0	0.016	0.0	0.0	0.039	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0ABC5C1B8	7.653	1.957	0.776	2.712	2.184	2.548	1.098	3.677	1.273	1.965	0.489	5.243	0.335	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.0	0.0	0.0	0.043	0.096	0.118	0.049	0.0	0.0	0.013	0.02	0.059	0.0	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.0	0.114	0.076	0.235	0.244	0.46	0.067	0.0	0.428	0.247	0.012	0.48	0.211	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.0	0.0	0.0	0.014	0.0	0.0	0.024	0.0	0.0	0.006	0.0	0.015	0.0	0.0
TNFRSF1B	P20333	False	TNR1B_HUMAN		CPI-SS0C4E86714	0.092	0.325	0.0	0.336	1.371	2.068	1.106	0.0	0.0	0.232	0.245	2.127	0.049	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS0302E8E8F	7.653	1.957	0.776	2.712	2.184	2.548	1.098	3.677	1.273	1.965	0.489	5.243	0.335	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.0	0.0	0.0	0.014	0.0	0.0	0.024	0.0	0.0	0.006	0.0	0.015	0.0	0.0
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.397	0.468	0.425	0.644	0.937	1.897	0.939	0.317	0.109	0.605	0.826	0.898	0.139	0.359
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS03098AC28	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
HLA-DPB1	HLADPB1	False	HLADPB1		CPI-SS05D23BCE8	1.475	0.38	0.282	1.1	0.4	0.981	0.449	0.373	0.533	0.864	0.112	2.092	0.295	0.0
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS03C51D352	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	0.0	0.048	0.256	0.241	0.168	0.182	0.139	0.205	0.0	0.256	0.111	0.266	0.603	20.424
TNFRSF17	Q02223	False	TNR17_HUMAN		CPI-SS0E2863F09	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.978	0.0	0.0	0.0	0.0	0.0	0.0
CD74	P04233	False	HG2A_HUMAN		CPI-SS09808DEAE	7.653	1.957	0.776	2.712	2.184	2.548	1.098	3.677	1.273	1.965	0.489	5.243	0.335	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.0	0.0	0.0	0.043	0.096	0.118	0.049	0.0	0.0	0.013	0.02	0.059	0.0	0.0
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0E9A581F8	0.0	0.0	0.0	0.043	0.096	0.118	0.049	0.0	0.0	0.013	0.02	0.059	0.0	0.0
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0A4F27388	0.0	0.114	0.076	0.235	0.244	0.46	0.067	0.0	0.428	0.247	0.012	0.48	0.211	0.0
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0049FD74F	0.0	0.0	0.094	0.045	0.0	0.095	0.062	0.1	0.0	0.008	0.037	0.187	0.0	0.0
FAS	P25445	False	TNR6_HUMAN		CPI-SS03A0C857B	0.276	0.472	0.0	0.024	0.152	0.056	0.12	0.747	0.0	0.027	0.007	0.013	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0B1AB068C	0.0	0.0	0.0	0.014	0.0	0.0	0.024	0.0	0.0	0.006	0.0	0.015	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.0	0.0	0.0	0.014	0.0	0.0	0.024	0.0	0.0	0.006	0.0	0.015	0.0	0.0
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.0	0.0	0.0	0.008	0.0	0.004	0.076	0.0	0.0	0.003	0.0	0.0	0.0	0.0
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.0	0.0	0.0	0.014	0.0	0.0	0.024	0.0	0.0	0.006	0.0	0.015	0.0	0.0
ERBB4	Q15303	False	ERBB4_HUMAN		CPI-SS074CF011C	0.0	0.0	0.0	0.013	0.0	0.0	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS03FA58286	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS0A76A8E97	0.364	1.325	0.055	0.418	1.337	1.565	1.832	0.349	0.0	0.413	0.785	1.202	0.409	0.966
CD1D	P15813	False	CD1D_HUMAN		CPI-SS0EAB03260	0.0	0.0	0.0	0.0	0.205	0.226	0.0	0.0	0.0	0.003	0.0	0.129	0.009	0.0
HLA-F	P30511	False	HLAF_HUMAN		CPI-SS00150FB64	0.364	1.325	0.055	0.418	1.337	1.565	1.832	0.349	0.0	0.413	0.785	1.202	0.409	0.966
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0B01D306C	0.0	9.808	0.0	0.058	0.147	0.103	8.983	0.0	0.0	0.025	0.522	0.101	0.0	0.252
CSF1	P09603	False	CSF1_HUMAN		CPI-SS03105D292	0.0	0.0	0.0	0.017	0.0	0.0	0.009	0.0	0.0	0.019	0.0	0.0	0.014	0.0
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.267	0.0	0.0	0.007	0.463	0.034	0.0	0.0	0.0	0.008	0.0	0.0	0.022	1.509
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.267	0.0	0.0	0.007	0.463	0.034	0.0	0.0	0.0	0.008	0.0	0.0	0.022	1.509
IGF1	P05019	False	IGF1_HUMAN		CPI-SS0E41702C1	0.0	0.0	0.0	0.047	0.0	0.0	0.0	1.631	0.0	0.0	0.0	0.0	0.0	0.0
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.267	0.0	0.0	0.007	0.463	0.034	0.0	0.0	0.0	0.008	0.0	0.0	0.022	1.509
BDNF	P23560	False	BDNF_HUMAN		CPI-SS09A36B221	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.003	0.0	0.0	0.044	0.0
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.089	0.114	0.0	0.121	1.318	1.385	0.054	0.068	0.0	0.098	0.041	0.941	0.146	0.0
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	0.0	0.431	0.403	0.263	0.519	0.395	0.415	0.068	0.0	0.303	0.082	0.275	0.203	2.378
BDNF	P23560	False	BDNF_HUMAN		CPI-SS03F0B666C	0.0	0.0	0.0	0.0	0.0	0.007	0.0	0.0	0.0	0.003	0.0	0.0	0.044	0.0
CD200	P41217	False	OX2G_HUMAN		CPI-SS0A9E884E0	0.66	0.0	0.557	0.766	0.004	0.024	0.049	0.068	0.712	0.51	0.02	0.154	0.292	0.0
KLRB1	Q12918	False	KLRB1_HUMAN		CPI-SS0E292C126	0.0	0.431	0.0	0.0	0.0	0.015	1.304	0.0	0.0	0.009	0.556	0.0	0.0	0.0
FAM3C	Q92520	False	FAM3C_HUMAN		CPI-SS02A0FF87F	0.149	0.0	0.0	0.116	0.008	0.035	0.068	0.394	0.0	0.046	0.042	0.037	0.081	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0F8EFEECF	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
TNF	P01375	False	TNFA_HUMAN		CPI-SS02EBC1BB0	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.337	0.009	0.0	0.0	0.022	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS0B81F1BF5	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.0	0.0	0.0	0.114	0.162	0.242	0.008	0.0	0.0	0.058	0.0	0.691	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS03B8E2D7A	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS04B4619D0	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS084BE3E4B	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.002	0.06	0.0	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0F9B3B259	0.0	0.0	0.0	0.038	0.313	0.403	0.0	0.0	0.0	0.116	0.0	0.393	0.106	0.155
TNF	P01375	False	TNFA_HUMAN		CPI-SS08B7D54A3	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
TNFSF13	O75888	False	TNF13_HUMAN		CPI-SS0A83A7E30	0.0	0.0	0.0	0.038	0.313	0.403	0.0	0.0	0.0	0.116	0.0	0.393	0.106	0.155
TNF	P01375	False	TNFA_HUMAN		CPI-SS0E7D5974D	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS07D9A48A2	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.002	0.06	0.0	0.0	0.0
TNF	P01375	False	TNFA_HUMAN		CPI-SS048A2311A	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
LTA	P01374	False	TNFB_HUMAN		CPI-SS0D5C54214	0.0	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.002	0.06	0.0	0.0	0.0
TNFSF10	P50591	False	TNF10_HUMAN		CPI-SS0DEDA3567	0.123	0.332	0.464	0.158	2.513	3.509	0.425	0.857	0.421	0.084	0.264	2.451	0.044	0.456
TNF	P01375	False	TNFA_HUMAN		CPI-SS034B442CE	0.0	0.098	0.0	0.0	0.02	0.094	0.026	0.0	0.0	0.003	0.071	0.016	0.0	0.0
TNFRSF13B	O14836	False	TR13B_HUMAN		CPI-SS0DCA69916	0.143	0.0	0.0	0.0	0.0	0.0	0.0	0.55	0.0	0.0	0.0	0.0	0.0	0.0
NCAM1	P13591	False	NCAM1_HUMAN		CPI-SS01BCB9360	0.0	0.0	0.108	0.009	0.026	0.028	0.21	0.0	0.0	0.01	0.018	0.03	0.025	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS07D71C546	0.0	0.0	0.0	0.06	0.326	0.599	0.122	0.0	0.0	0.072	0.027	0.521	0.06	0.0
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS027CDEA08	0.0	0.0	0.0	0.06	0.326	0.599	0.122	0.0	0.0	0.072	0.027	0.521	0.06	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS012B7C21D	0.0	0.0	0.079	0.061	0.0	0.022	0.013	0.0	0.0	0.016	0.023	0.006	0.0	0.097
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS00D153A8A	0.0	0.0	0.0	0.007	0.0	0.023	0.0	0.0	0.0	0.003	0.0	0.111	0.057	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.0	0.0	0.079	0.061	0.0	0.022	0.013	0.0	0.0	0.016	0.023	0.006	0.0	0.097
CD46	P15529	False	MCP_HUMAN		CPI-SS01A07768A	0.222	0.398	0.094	0.226	0.47	0.516	0.259	0.0	0.0	0.213	0.115	0.503	0.39	0.0
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A34EE366	0.0	0.0	0.079	0.061	0.0	0.022	0.013	0.0	0.0	0.016	0.023	0.006	0.0	0.097
CCL2	P13500	False	CCL2_HUMAN		CPI-SS0CF0E4DE9	0.0	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0A021DB6E	0.0	9.808	0.0	0.058	0.147	0.103	8.983	0.0	0.0	0.025	0.522	0.101	0.0	0.252
CCL5	P13501	False	CCL5_HUMAN		CPI-SS0F3BF2B34	0.0	9.808	0.0	0.058	0.147	0.103	8.983	0.0	0.0	0.025	0.522	0.101	0.0	0.252
CCL22	O00626	False	CCL22_HUMAN		CPI-SS0AEC33FF1	0.0	0.0	0.0	0.028	0.0	0.006	0.049	0.0	0.0	0.001	0.013	0.0	0.0	0.0
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS0CC738ABC	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0CDAC688B	0.0	0.0	0.0	0.132	0.061	0.289	0.032	0.0	0.0	0.076	0.013	0.117	0.048	1.097
PF4	P02776	False	PLF4_HUMAN		CPI-SS01A6823FA	0.0	5.989	0.0	0.0	0.431	0.038	0.0	0.0	0.0	0.008	0.028	0.015	1.571	4.556
CXCL11	O14625	False	CXL11_HUMAN		CPI-SS09FAC4977	0.0	0.0	0.0	0.0	0.0	0.009	0.0	0.0	0.0	0.002	0.0	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	0.0	0.0	0.0	0.0	0.045	0.02	0.048	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CXCL8	P10145	False	IL8_HUMAN		CPI-SS0315F51DD	0.0	0.0	0.232	0.609	1.236	2.155	0.095	0.0	0.0	0.06	0.0	0.709	0.022	2.573
CXCL2	P19875	False	CXCL2_HUMAN		CPI-SS0F562FEA5	0.0	0.0	0.0	0.132	0.061	0.289	0.032	0.0	0.0	0.076	0.013	0.117	0.048	1.097
PPBP	P02775	False	CXCL7_HUMAN		CPI-SS0C491A3C1	0.0	7.664	0.0	0.1	0.131	0.102	0.0	0.0	0.0	0.008	0.0	0.015	0.595	1.392
CXCL3	P19876	False	CXCL3_HUMAN		CPI-SS09185EA8F	0.0	0.0	0.188	0.151	0.111	0.213	0.038	0.0	0.0	0.025	0.0	0.766	0.197	0.928
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	0.0	0.0	0.0	0.21	0.0	0.017	0.0	0.0	0.109	0.151	0.067	0.047	0.133	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.0	0.0	0.0	0.009	0.345	0.224	0.0	0.0	0.0	0.003	0.0	0.132	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0E23CEB91	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.092	0.123	0.06	0.329	0.622	0.597	0.101	0.068	0.0	0.324	0.166	0.497	0.319	0.219
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	0.0	0.0	0.0	0.21	0.0	0.017	0.0	0.0	0.109	0.151	0.067	0.047	0.133	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.0	0.0	0.0	0.0	0.0	0.0
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	0.713	0.0	0.208	0.519	0.179	0.183	0.091	0.0	0.0	0.069	0.048	0.064	0.657	3.762
WNT3	P56703	False	WNT3_HUMAN		CPI-SS0E7523314	0.0	0.112	0.0	0.0	0.0	0.003	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
TNFRSF10A	O00220	False	TR10A_HUMAN		CPI-SS0179FBFD3	0.0	0.0	0.0	0.0	0.0	0.017	0.0	0.0	0.0	0.008	0.078	0.016	0.0	0.0
TNFRSF10B	O14763	False	TR10B_HUMAN		CPI-SS0898D7F7F	0.0	0.0	0.094	0.045	0.0	0.095	0.062	0.1	0.0	0.008	0.037	0.187	0.0	0.0
TNFRSF10C	O14798	False	TR10C_HUMAN		CPI-SS01ECFDA18	0.0	0.0	0.0	0.0	0.0	0.008	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	0.0	0.0	0.055	0.004	0.0	0.05	0.033	0.0	0.0	0.038	0.0	0.033	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07833475A	0.0	0.0	0.055	0.004	0.0	0.05	0.033	0.0	0.0	0.038	0.0	0.033	0.0	0.0
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS07A0F4D73	0.0	0.0	0.055	0.004	0.0	0.05	0.033	0.0	0.0	0.038	0.0	0.033	0.0	0.0
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0883B7EE4	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.017	0.0	0.0
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0E63AB61E	1.021	0.198	0.469	0.322	0.339	0.234	0.195	0.0	0.249	0.19	0.188	0.179	1.405	4.368
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.012	0.0	0.0
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.0	0.0	0.0	0.021	0.0	0.01	0.0	0.0	0.0	0.004	0.015	0.0	0.0	0.0
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.356	0.349	0.0	0.192	0.194	0.226	0.121	0.068	0.268	0.083	0.089	0.086	0.099	0.78
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.0	0.0	0.138	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D1AE5C79	0.0	0.0	0.0	0.011	0.0	0.0	0.0	0.0	0.0	0.013	0.0	0.017	0.0	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.337	0.009	0.0	0.0	0.022	0.0
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.0	0.0	0.0	0.031	0.024	0.026	0.0	0.0	0.0	0.006	0.0	0.065	0.0	0.0
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0E1A8414D	0.0	0.077	0.0	0.027	0.04	0.003	0.0	0.0	0.0	0.002	0.0	0.0	0.075	0.0
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.0	0.0	0.0	0.0	0.0	0.0	0.022	0.0	0.337	0.009	0.0	0.0	0.022	0.0
