gene_name	uniprot	is_complex	protein_name	complex_name	id_cp_interaction	EPI	Mes	TE	emVE	exVE
FGF3	P11487	False	FGF3_HUMAN		CPI-SS06D341996	0.024	1.485	0.055	0.024	0.019
FGF5	P12034	False	FGF5_HUMAN		CPI-SS02FEAF02E	2.921	1.052	0.049	2.914	0.13
FGF10	O15520	False	FGF10_HUMAN		CPI-SS0AECC113F	0.026	0.422	0.006	0.419	0.052
TIMP1	P01033	False	TIMP1_HUMAN		CPI-SS0735F5C3A	0.257	0.161	0.085	0.022	0.01
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0348DB5E3	1.24	1.174	1.093	0.208	0.265
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0D636A374	0.014	0.0	0.0	0.003	0.005
FGF1	P05230	False	FGF1_HUMAN		CPI-SS015819E65	0.021	0.0	0.0	0.022	0.006
FGF18	O76093	False	FGF18_HUMAN		CPI-SS0E134097C	0.0	0.0	0.011	0.004	0.0
FGF4	P08620	False	FGF4_HUMAN		CPI-SS013E86AFF	0.106	0.023	0.0	0.0	0.001
FGF3	P11487	False	FGF3_HUMAN		CPI-SS0C2A73A10	0.024	1.485	0.055	0.024	0.019
FGF5	P12034	False	FGF5_HUMAN		CPI-SS076D8A297	2.921	1.052	0.049	2.914	0.13
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS0BF3ED143	0.062	0.105	1.62	0.127	0.146
FGF2	P09038	False	FGF2_HUMAN		CPI-SS0CB6968B9	0.014	0.0	0.0	0.003	0.005
SPP1	P10451	False	OSTP_HUMAN		CPI-SS0C1BD22BC	0.158	0.0	0.0	0.0	0.0
FGF1	P05230	False	FGF1_HUMAN		CPI-SS068C742A1	0.021	0.0	0.0	0.022	0.006
TGFB1	P01137	False	TGFB1_HUMAN		CPI-SS085EE60B1	0.078	0.741	0.059	0.11	0.07
INHA	P05111	False	INHA_HUMAN		CPI-SS0FB37E079	0.007	0.0	0.0	0.016	0.017
TGFB2	P61812	False	TGFB2_HUMAN		CPI-SS0178F5C45	0.02	0.04	0.0	0.063	0.007
L1CAM	P32004	False	L1CAM_HUMAN		CPI-SS0ACD487F0	0.0	0.147	0.031	0.016	0.001
JAM2	P57087	False	JAM2_HUMAN		CPI-SS087B53ABF	0.0	0.015	0.0	0.0	0.0
JAM3	Q9BX67	False	JAM3_HUMAN		CPI-SS0F9D53834	0.479	0.434	0.114	0.048	0.026
LAMP1	P11279	False	LAMP1_HUMAN		CPI-SS055E061C9	2.407	2.511	3.184	6.507	9.274
CXADR	P78310	False	CXAR_HUMAN		CPI-SS033CB0BB2	0.65	0.536	0.538	0.611	0.143
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS0E2431C09	0.0	0.012	0.0	0.0	0.0
PDCD1	Q15116	False	PDCD1_HUMAN		CPI-SS016EE0084	0.0	0.012	0.0	0.0	0.0
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0B02DE712	0.0	0.037	0.041	0.02	0.005
ADGRL1	O94910	False	AGRL1_HUMAN		CPI-SS09375CA29	1.024	0.734	0.448	0.113	0.064
EGF	P01133	False	EGF_HUMAN		CPI-SS00A953C3A	0.021	0.026	0.01	0.017	0.032
ERBB3	P21860	False	ERBB3_HUMAN		CPI-SS0BF9FA3F2	0.143	0.016	0.756	0.107	0.08
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0F4D30D5A	0.0	0.037	0.041	0.02	0.005
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0E25CE362	0.0	0.037	0.041	0.02	0.005
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0055264F3	0.0	0.037	0.041	0.02	0.005
EGFR	P00533	False	EGFR_HUMAN		CPI-SS00EDDD458	0.0	0.037	0.041	0.02	0.005
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0481D83A4	0.0	0.037	0.041	0.02	0.005
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS0D4C221B8	0.086	0.1	0.102	0.307	0.626
EGFR	P00533	False	EGFR_HUMAN		CPI-SS08CA619FE	0.0	0.037	0.041	0.02	0.005
TNFRSF1A	P19438	False	TNR1A_HUMAN		CPI-SS0DA033F03	0.125	0.315	0.142	0.213	0.285
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS054D158CC	0.016	0.011	0.0	0.0	0.002
EGFR	P00533	False	EGFR_HUMAN		CPI-SS088A0A760	0.0	0.037	0.041	0.02	0.005
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0E6E8A727	0.016	0.011	0.0	0.0	0.002
EGFR	P00533	False	EGFR_HUMAN		CPI-SS07F042076	0.0	0.037	0.041	0.02	0.005
EGFR	P00533	False	EGFR_HUMAN		CPI-SS0C10824C7	0.0	0.037	0.041	0.02	0.005
CD44	P16070	False	CD44_HUMAN		CPI-SS0632A027A	0.024	0.049	0.0	0.002	0.002
TFRC	P02786	False	TFR1_HUMAN		CPI-SS03133B4F2	1.063	0.56	1.539	0.188	0.18
CD40	P25942	False	TNR5_HUMAN		CPI-SS0F00D756A	0.073	0.153	0.105	0.357	0.307
ICAM1	P05362	False	ICAM1_HUMAN		CPI-SS09C4FCB90	0.086	0.1	0.102	0.307	0.626
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS0391D4602	0.016	0.011	0.0	0.0	0.002
ADORA2A	P29274	False	AA2AR_HUMAN		CPI-SS00A6D366F	0.0	0.0	0.013	0.009	0.001
NTRK1	P04629	False	NTRK1_HUMAN		CPI-SS05D1A6BEF	0.016	0.011	0.0	0.0	0.002
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0DE0A486F	0.0	0.245	0.0	0.196	0.019
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0E00478B4	0.067	0.86	0.665	0.251	0.325
NRP1	O14786	False	NRP1_HUMAN		CPI-SS0855C0353	0.0	0.245	0.0	0.196	0.019
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0D22A09AD	0.067	0.86	0.665	0.251	0.325
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0E61DB5DF	0.184	0.453	0.053	0.237	0.096
NRP1	O14786	False	NRP1_HUMAN		CPI-SS033E6DE7E	0.0	0.245	0.0	0.196	0.019
FLT1	P17948	False	VGFR1_HUMAN		CPI-SS0947A8549	0.184	0.453	0.053	0.237	0.096
ADRB2	P07550	False	ADRB2_HUMAN		CPI-SS098425155	0.007	0.016	0.0	0.002	0.009
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0F15C1AB3	0.067	0.86	0.665	0.251	0.325
NRP2	O60462	False	NRP2_HUMAN		CPI-SS0241A1F57	0.067	0.86	0.665	0.251	0.325
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0A3569604	0.592	1.051	1.99	2.041	3.785
IGF2	P01344	False	IGF2_HUMAN		CPI-SS0579FA162	0.592	1.051	1.99	2.041	3.785
IGF2	P01344	False	IGF2_HUMAN		CPI-SS042A6F835	0.592	1.051	1.99	2.041	3.785
GRN	P28799	False	GRN_HUMAN		CPI-SS07CCAD9BF	0.577	0.45	0.483	0.84	1.118
COPA	P53621	False	COPA_HUMAN		CPI-SS04F3A1E5C	1.143	1.179	1.29	1.762	2.135
PROK1	P58294	False	PROK1_HUMAN		CPI-SS04465565A	0.0	0.0	0.0	0.0	0.001
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BD9F32BA	0.028	0.005	0.0	0.061	0.034
DLL1	O00548	False	DLL1_HUMAN		CPI-SS04A5D6B6F	0.0	0.302	0.016	0.022	0.038
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0AB21032D	0.611	0.425	0.337	0.789	0.917
VEGFD	O43915	False	VEGFD_HUMAN		CPI-SS0D883FFF1	0.0	0.013	0.0	0.004	0.002
PTN	P21246	False	PTN_HUMAN		CPI-SS00F4DDF4B	0.196	0.053	0.0	0.0	0.002
DPP4	P27487	False	DPP4_HUMAN		CPI-SS0DBA4D668	0.179	0.294	0.243	2.046	2.095
ACKR3	P25106	False	ACKR3_HUMAN		CPI-SS07155793F	0.012	0.032	0.0	0.129	0.016
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS027CDEA08	0.552	0.524	0.366	0.696	0.46
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS012B7C21D	0.149	0.406	0.12	0.014	0.009
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS00D153A8A	0.048	0.041	0.076	0.018	0.013
NOTCH2	Q04721	False	NOTC2_HUMAN		CPI-SS003C9A532	0.552	0.524	0.366	0.696	0.46
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0607D1101	0.149	0.406	0.12	0.014	0.009
NOTCH4	Q99466	False	NOTC4_HUMAN		CPI-SS09D379E5B	0.048	0.041	0.076	0.018	0.013
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B42AD9EF	0.149	0.406	0.12	0.014	0.009
FZD6	O60353	False	FZD6_HUMAN		CPI-SS0FA326344	0.049	0.031	0.03	0.108	0.075
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0B87FE6E0	0.149	0.406	0.12	0.014	0.009
NOTCH1	P46531	False	NOTC1_HUMAN		CPI-SS0A34EE366	0.149	0.406	0.12	0.014	0.009
NPPB	P16860	False	ANFB_HUMAN		CPI-SS0652F5D15	0.027	0.0	0.043	0.0	0.002
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0D377BBBF	0.0	0.021	0.0	0.0	0.0
CXCL1	P09341	False	GROA_HUMAN		CPI-SS08102DC9E	0.0	0.0	0.0	0.0	0.004
CALCA	P01258	False	CALC_HUMAN		CPI-SS015B2F961	0.223	0.014	0.125	0.008	0.002
CALCA	P06881	False	CALCA_HUMAN		CPI-SS0F531DDEB	0.223	0.014	0.125	0.008	0.002
NPPB	P16860	False	ANFB_HUMAN		CPI-SS023D39112	0.027	0.0	0.043	0.0	0.002
NPPB	P16860	False	ANFB_HUMAN		CPI-SS0779676D0	0.027	0.0	0.043	0.0	0.002
ADCYAP1	P18509	False	PACA_HUMAN		CPI-SS0133239EA	0.0	0.021	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0BC7CD11B	0.028	0.005	0.0	0.061	0.034
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0419B80C4	0.028	0.005	0.0	0.061	0.034
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS02928C71A	0.015	0.03	0.048	0.019	0.072
MDK	P21741	False	MK_HUMAN		CPI-SS006C6537E	13.99	13.595	2.825	13.393	8.537
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS0984C2931	0.039	0.013	0.0	0.003	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS014958F32	0.028	0.005	0.0	0.061	0.034
SIRPA	P78324	False	SHPS1_HUMAN		CPI-SS0339AE950	0.125	0.082	0.024	0.137	0.018
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS0A9FB762A	0.028	0.005	0.0	0.061	0.034
BMP7	P18075	False	BMP7_HUMAN		CPI-SS0472C478C	0.042	0.438	0.095	0.044	0.164
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0CB863B46	0.0	0.768	0.029	0.141	0.05
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS002DF6C31	0.028	0.005	0.0	0.061	0.034
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS08877A081	0.028	0.005	0.0	0.061	0.034
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS09C52F54E	0.028	0.005	0.0	0.061	0.034
MDK	P21741	False	MK_HUMAN		CPI-SS083CBFACD	13.99	13.595	2.825	13.393	8.537
WISP3	O95389	False	WISP3_HUMAN		CPI-SS0D3C90DDA	0.0	0.014	0.0	0.0	0.0
LGALS9	O00182	False	LEG9_HUMAN		CPI-SS048346C2B	0.028	0.005	0.0	0.061	0.034
CER1	O95813	False	CER1_HUMAN		CPI-SS0014DB67C	0.144	0.486	0.044	2.581	0.081
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS05A26A1DE	0.015	0.03	0.048	0.019	0.072
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0FEEB187C	0.015	0.03	0.048	0.019	0.072
PDGFA	P04085	False	PDGFA_HUMAN		CPI-SS0B70EB09E	1.15	0.692	1.672	0.223	0.082
PDGFB	P01127	False	PDGFB_HUMAN		CPI-SS0CB4F2FE4	0.015	0.03	0.048	0.019	0.072
MDK	P21741	False	MK_HUMAN		CPI-SS027E12A36	13.99	13.595	2.825	13.393	8.537
PTN	P21246	False	PTN_HUMAN		CPI-SS04E690D72	0.196	0.053	0.0	0.0	0.002
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS048604E28	0.039	0.013	0.0	0.003	0.0
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0D782F60B	0.019	0.053	0.012	0.049	0.028
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS080C0EEB8	0.039	0.013	0.0	0.003	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0B2D5BA95	0.0	0.768	0.029	0.141	0.05
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0CA020C34	0.019	0.053	0.012	0.049	0.028
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0E4DE8215	0.0	0.331	0.013	0.002	0.008
WNT3	P56703	False	WNT3_HUMAN		CPI-SS0E7523314	0.263	0.711	0.047	0.467	0.251
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0D81C6C1D	0.021	0.03	1.621	0.031	0.024
WNT3A	P56704	False	WNT3A_HUMAN		CPI-SS0261EA048	0.039	0.013	0.0	0.003	0.0
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS01C2BA5C8	0.0	0.768	0.029	0.141	0.05
WNT2	P09544	False	WNT2_HUMAN		CPI-SS02C418D99	0.0	0.331	0.013	0.002	0.008
BMP7	P18075	False	BMP7_HUMAN		CPI-SS0097929A7	0.042	0.438	0.095	0.044	0.164
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E32BEF02	0.0	0.768	0.029	0.141	0.05
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0D4F593F1	0.0	0.768	0.029	0.141	0.05
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS01DCC7684	0.267	0.372	0.263	0.128	0.033
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS03E450F99	0.009	0.122	0.2	0.033	0.03
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS0D5DBB634	0.13	1.051	0.933	0.15	0.081
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0F81DBF22	0.45	0.643	1.165	0.736	0.403
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS028688B7B	0.385	0.372	0.006	0.39	0.02
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0C56C483F	0.0	0.768	0.029	0.141	0.05
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS0E7CBFD03	0.0	0.768	0.029	0.141	0.05
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS002673EFE	0.0	0.768	0.029	0.141	0.05
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0F26BB901	0.0	0.331	0.013	0.002	0.008
WNT5A	P41221	False	WNT5A_HUMAN		CPI-SS073F3FAD5	0.0	0.768	0.029	0.141	0.05
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS023738D54	1.24	1.174	1.093	0.208	0.265
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0E0BCE16F	1.24	1.174	1.093	0.208	0.265
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS039799099	1.24	1.174	1.093	0.208	0.265
FGFR1	P11362	False	FGFR1_HUMAN		CPI-SS0769B1FF3	1.24	1.174	1.093	0.208	0.265
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS07BA4A3B7	0.062	0.105	1.62	0.127	0.146
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS05C077A1E	0.012	0.11	0.128	0.385	0.369
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D99CC068	0.0	0.053	0.086	0.192	0.323
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS06A0B20BD	0.062	0.105	1.62	0.127	0.146
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0E63AB61E	0.267	0.372	0.263	0.128	0.033
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0EBFE1854	0.009	0.122	0.2	0.033	0.03
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS05B4EB419	0.13	1.051	0.933	0.15	0.081
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0659DBE72	0.45	0.643	1.165	0.736	0.403
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS0FC01B947	0.385	0.372	0.006	0.39	0.02
EFNB2	P52799	False	EFNB2_HUMAN		CPI-SS087E0E3FB	0.238	0.476	0.804	0.069	0.204
FGFR4	P22455	False	FGFR4_HUMAN		CPI-SS0816A4ED4	0.012	0.11	0.128	0.385	0.369
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS0D1AE5C79	0.0	0.053	0.086	0.192	0.323
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS00D9A0644	0.062	0.105	1.62	0.127	0.146
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS02E314589	0.062	0.105	1.62	0.127	0.146
FGFR3	P22607	False	FGFR3_HUMAN		CPI-SS02C29C238	0.0	0.053	0.086	0.192	0.323
FGFR2	P21802	False	FGFR2_HUMAN		CPI-SS098F416C1	0.062	0.105	1.62	0.127	0.146
WNT4	P56705	False	WNT4_HUMAN		CPI-SS0A69F13A3	0.019	0.053	0.012	0.049	0.028
BMP2	P12643	False	BMP2_HUMAN		CPI-SS016B7C7D6	0.045	0.573	0.019	1.314	0.443
WNT2	P09544	False	WNT2_HUMAN		CPI-SS0C2561156	0.0	0.331	0.013	0.002	0.008
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0B8083B44	0.021	0.03	1.621	0.031	0.024
WNT2B	Q93097	False	WNT2B_HUMAN		CPI-SS01469637C	0.0	0.075	0.0	0.0	0.0
WNT7B	P56706	False	WNT7B_HUMAN		CPI-SS0A683CBC1	0.021	0.03	1.621	0.031	0.024
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0423580E5	0.0	0.302	0.016	0.022	0.038
JAG1	P78504	False	JAG1_HUMAN		CPI-SS060B82BBC	0.12	0.276	0.091	0.043	0.009
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0E1A8414D	0.08	0.293	0.084	0.711	0.877
DLL1	O00548	False	DLL1_HUMAN		CPI-SS0FB5FE587	0.0	0.302	0.016	0.022	0.038
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0837E9F59	0.12	0.276	0.091	0.043	0.009
DLK1	P80370	False	DLK1_HUMAN		CPI-SS0D37C7C70	0.08	0.293	0.084	0.711	0.877
DLL1	O00548	False	DLL1_HUMAN		CPI-SS047232C64	0.0	0.302	0.016	0.022	0.038
JAG1	P78504	False	JAG1_HUMAN		CPI-SS0B99F22A2	0.12	0.276	0.091	0.043	0.009
DLK1	P80370	False	DLK1_HUMAN		CPI-SS007AA9FDE	0.08	0.293	0.084	0.711	0.877
DLL4	Q9NR61	False	DLL4_HUMAN		CPI-SS0938C6980	0.0	0.009	0.0	0.0	0.0
DLL3	Q9NYJ7	False	DLL3_HUMAN		CPI-SS035E5A708	0.016	0.627	0.257	0.01	0.009
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0BFB29A42	0.611	0.425	0.337	0.789	0.917
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS08FAC0A55	0.611	0.425	0.337	0.789	0.917
PLXNB1	O43157	False	PLXB1_HUMAN		CPI-SS0CCCF7C69	0.343	0.18	0.105	0.083	0.02
CD72	P21854	False	CD72_HUMAN		CPI-SS06AA638A8	0.0	0.005	0.0	0.0	0.005
PLXNB2	O15031	False	PLXB2_HUMAN		CPI-SS0C0A61F92	0.611	0.425	0.337	0.789	0.917
VEGFD	O43915	False	VEGFD_HUMAN		CPI-SS0EBA5A4D8	0.0	0.013	0.0	0.004	0.002
VEGFA	P15692	False	VEGFA_HUMAN		CPI-SS0C03F7CDC	0.039	0.251	0.145	0.51	0.806
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0B34CBA4B	0.267	0.372	0.263	0.128	0.033
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0FF49C823	0.009	0.122	0.2	0.033	0.03
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS08A54963F	0.267	0.372	0.263	0.128	0.033
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS046F6F0C1	0.009	0.122	0.2	0.033	0.03
EFNA2	O43921	False	EFNA2_HUMAN		CPI-SS0D81D9F5E	0.267	0.372	0.263	0.128	0.033
EFNA1	P20827	False	EFNA1_HUMAN		CPI-SS0762B455F	0.009	0.122	0.2	0.033	0.03
EFNA3	P52797	False	EFNA3_HUMAN		CPI-SS079EF5D9C	0.13	1.051	0.933	0.15	0.081
EFNA4	P52798	False	EFNA4_HUMAN		CPI-SS0008137B6	0.45	0.643	1.165	0.736	0.403
EFNA5	P52803	False	EFNA5_HUMAN		CPI-SS09E3F5044	0.385	0.372	0.006	0.39	0.02
POMC	P01189	False	COLI_HUMAN		CPI-SS0B1F94CD2	0.102	0.126	0.029	0.026	0.043
POMC	P01189	False	COLI_HUMAN		CPI-SS00BD8FF72	0.102	0.126	0.029	0.026	0.043
LEFTY2	O00292	False	LFTY2_HUMAN		CPI-SS033A27302	0.052	1.702	0.042	0.024	0.012
LEFTY1	O75610	False	LFTY1_HUMAN		CPI-SS0E9F84F1F	0.034	0.084	0.0	0.846	0.025
CXCL12	P48061	False	SDF1_HUMAN		CPI-SS0A28DCA72	0.883	0.121	0.005	0.003	0.007
AVP	P01185	False	NEU2_HUMAN		CPI-SS0FCF733EA	0.0	0.0	0.0	0.0	0.003
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0708FE6FF	0.053	0.065	0.051	0.139	0.296
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS0E075E5AF	0.053	0.065	0.051	0.139	0.296
NRG1	Q02297	False	NRG1_HUMAN		CPI-SS02572E1EF	0.053	0.065	0.051	0.139	0.296
RSPO1	Q2MKA7	False	RSPO1_HUMAN		CPI-SS0057AB387	0.013	0.0	0.017	0.008	0.006
TNFSF11	O14788	False	TNF11_HUMAN		CPI-SS0ED2573CA	0.076	0.0	0.035	0.0	0.0
PLD2	O14939	False	PLD2_HUMAN		CPI-SS06A999D25	0.032	0.035	0.034	0.083	0.125
SEMA3E	O15041	False	SEM3E_HUMAN		CPI-SS0F3A089DE	0.113	0.018	0.089	0.004	0.002
SEMA4A	Q9H3S1	False	SEM4A_HUMAN		CPI-SS044C72D0D	0.087	0.027	0.046	0.052	0.15
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0B9E8C0DE	0.137	0.056	0.013	0.008	0.001
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0111AAD26	0.137	0.056	0.013	0.008	0.001
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0FF55B42C	0.157	0.127	0.296	0.171	0.058
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0F21D6CA0	0.239	0.227	0.164	0.267	0.357
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0470AF83E	0.103	0.033	0.008	0.078	0.092
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS00046DCF3	0.292	0.72	0.031	0.922	0.285
EPHB2	P29323	False	EPHB2_HUMAN		CPI-SS0DA366C78	0.137	0.056	0.013	0.008	0.001
EPHB3	P54753	False	EPHB3_HUMAN		CPI-SS0A5B945E3	0.157	0.127	0.296	0.171	0.058
EPHB4	P54760	False	EPHB4_HUMAN		CPI-SS0865716E5	0.239	0.227	0.164	0.267	0.357
EPHB1	P54762	False	EPHB1_HUMAN		CPI-SS0D41C7AF5	0.103	0.033	0.008	0.078	0.092
EPHA4	P54764	False	EPHA4_HUMAN		CPI-SS07CA5A6F1	0.292	0.72	0.031	0.922	0.285
