id_cp_interaction	interacting_pair	partner_a	partner_b	gene_a	gene_b	secreted	receptor_a	receptor_b	annotation_strategy	is_integrin	EPI|EPI	EPI|Mes	EPI|TE	EPI|emVE	EPI|exVE	Mes|EPI	Mes|Mes	Mes|TE	Mes|emVE	Mes|exVE	TE|EPI	TE|Mes	TE|TE	TE|emVE	TE|exVE	emVE|EPI	emVE|Mes	emVE|TE	emVE|emVE	emVE|exVE	exVE|EPI	exVE|Mes	exVE|TE	exVE|emVE	exVE|exVE
CPI-SS013E86AFF	FGF4_FGFR3	simple:P08620	simple:P22607	FGF4	FGFR3	True	False	True	I2D	False	0.0	0.08	0.096	0.149	0.215	0.0	0.038	0.055	0.107	0.173	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.027	0.044	0.097	0.162
CPI-SS0C2A73A10	FGF3_FGFR3	simple:P11487	simple:P22607	FGF3	FGFR3	True	False	True	I2D	False	0.0	0.038	0.055	0.108	0.174	0.0	0.769	0.785	0.838	0.904	0.0	0.054	0.071	0.124	0.189	0.0	0.038	0.055	0.108	0.174	0.0	0.036	0.052	0.105	0.171
CPI-SS076D8A297	FGF5_FGFR3	simple:P12034	simple:P22607	FGF5	FGFR3	True	False	True	I2D	False	0.0	1.487	1.503	1.556	1.622	0.0	0.552	0.569	0.622	0.687	0.0	0.051	0.068	0.12	0.186	0.0	1.483	1.5	1.553	1.619	0.0	0.091	0.108	0.161	0.226
CPI-SS0BF3ED143	FGFR2_FGFR3	simple:P21802	simple:P22607	FGFR2	FGFR3	True	True	True	IMEx,InnateDB-All	False	0.0	0.057	0.074	0.127	0.192	0.0	0.079	0.096	0.149	0.214	0.0	0.836	0.853	0.906	0.972	0.0	0.09	0.107	0.159	0.225	0.0	0.1	0.116	0.169	0.235
CPI-SS0CB6968B9	FGF2_FGFRL1	simple:P09038	simple:Q8N441	FGF2	FGFRL1	True	False	True	I2D	False	0.015	0.091	0.024	0.091	0.088	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.009	0.085	0.018	0.085	0.082	0.011	0.086	0.019	0.087	0.084
CPI-SS0C1BD22BC	SPP1_PTGER4	simple:P10451	simple:P35408	SPP1	PTGER4	True	False	True	IMEx,MINT	False	0.0	0.095	0.093	0.087	0.089	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS068C742A1	FGF1_TGFBR3	simple:P05230	simple:Q03167	FGF1	TGFBR3	True	False	True	InnateDB-All	False	0.171	0.16	0.018	0.395	0.152	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.172	0.161	0.019	0.396	0.153	0.164	0.153	0.011	0.388	0.145
CPI-SS085EE60B1	TGFB1_TGFBR3	simple:P01137	simple:Q03167	TGFB1	TGFBR3	True	False	True	curated	False	0.2	0.188	0.047	0.423	0.181	0.531	0.52	0.378	0.755	0.512	0.19	0.179	0.038	0.414	0.171	0.216	0.205	0.063	0.44	0.197	0.196	0.184	0.043	0.419	0.177
CPI-SS0FB37E079	INHA_TGFBR3	simple:P05111	simple:Q03167	INHA	TGFBR3	True	False	True	I2D	False	0.164	0.153	0.011	0.388	0.145	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.169	0.157	0.016	0.392	0.15	0.169	0.158	0.017	0.393	0.15
CPI-SS0178F5C45	TGFB2_TGFBR3	simple:P61812	simple:Q03167	TGFB2	TGFBR3	True	False	True	curated	False	0.171	0.159	0.018	0.394	0.152	0.181	0.17	0.028	0.405	0.162	0.0	0.0	0.0	0.0	0.0	0.192	0.181	0.039	0.416	0.173	0.164	0.153	0.011	0.388	0.145
CPI-SS0ACD487F0	L1CAM_L1CAM	simple:P32004	simple:P32004	L1CAM	L1CAM	False	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.147	0.089	0.081	0.074	0.0	0.089	0.031	0.024	0.016	0.0	0.081	0.024	0.016	0.008	0.0	0.074	0.016	0.008	0.001
CPI-SS087B53ABF	JAM2_JAM3	simple:P57087	simple:Q9BX67	JAM2	JAM3	True	False	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.247	0.224	0.065	0.031	0.021	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0F9D53834	JAM3_JAM3	simple:Q9BX67	simple:Q9BX67	JAM3	JAM3	True	False	False	curated	False	0.479	0.457	0.297	0.264	0.253	0.457	0.434	0.274	0.241	0.23	0.297	0.274	0.114	0.081	0.07	0.264	0.241	0.081	0.048	0.037	0.253	0.23	0.07	0.037	0.026
CPI-SS055E061C9	LAMP1_FAM3C	simple:P11279	simple:Q92520	LAMP1	FAM3C	True	True	False	InnateDB-All	False	1.795	1.581	1.921	1.843	1.915	1.847	1.633	1.973	1.895	1.967	2.184	1.969	2.31	2.232	2.303	3.845	3.631	3.971	3.893	3.965	5.229	5.014	5.355	5.276	5.348
CPI-SS033CB0BB2	CXADR_FAM3C	simple:P78310	simple:Q92520	CXADR	FAM3C	True	True	False	IMEx,IntAct	False	0.917	0.702	1.043	0.965	1.036	0.86	0.646	0.986	0.908	0.979	0.861	0.647	0.987	0.909	0.98	0.897	0.683	1.023	0.945	1.017	0.663	0.449	0.789	0.711	0.783
CPI-SS0E2431C09	PDCD1_FAM3C	simple:Q15116	simple:Q92520	PDCD1	FAM3C	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.598	0.384	0.724	0.646	0.717	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS016EE0084	PDCD1_CD274	simple:Q15116	simple:Q9NZQ7	PDCD1	CD274	False	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.022	0.011	0.0	0.007	0.009	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
CPI-SS0B02DE712	EGFR_NRG1	simple:P00533	simple:Q02297	EGFR	NRG1	True	True	True	I2D,IMEx,InnateDB-All,IntAct	False	0.0	0.0	0.0	0.0	0.0	0.045	0.051	0.044	0.088	0.166	0.047	0.053	0.046	0.09	0.169	0.037	0.043	0.035	0.079	0.158	0.029	0.035	0.028	0.072	0.151
CPI-SS09375CA29	ADGRL1_NRG1	simple:O94910	simple:Q02297	ADGRL1	NRG1	True	True	True	InnateDB-All	False	0.539	0.545	0.537	0.581	0.66	0.394	0.4	0.392	0.436	0.515	0.251	0.257	0.25	0.294	0.372	0.083	0.089	0.082	0.126	0.204	0.059	0.065	0.057	0.101	0.18
CPI-SS00A953C3A	EGF_NRG1	simple:P01133	simple:Q02297	EGF	NRG1	True	False	True	I2D	False	0.037	0.043	0.036	0.08	0.159	0.04	0.046	0.039	0.083	0.161	0.032	0.038	0.03	0.074	0.153	0.035	0.041	0.034	0.078	0.157	0.043	0.049	0.041	0.085	0.164
CPI-SS0BF9FA3F2	ERBB3_NRG1	simple:P21860	simple:Q02297	ERBB3	NRG1	True	True	True	curated	False	0.098	0.104	0.097	0.141	0.22	0.034	0.04	0.033	0.077	0.156	0.405	0.411	0.403	0.447	0.526	0.08	0.086	0.079	0.123	0.201	0.067	0.073	0.065	0.109	0.188
CPI-SS0F4D30D5A	EGFR_EGF	simple:P00533	simple:P01133	EGFR	EGF	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.029	0.032	0.023	0.027	0.034	0.031	0.034	0.026	0.029	0.037	0.021	0.023	0.015	0.019	0.026	0.013	0.016	0.008	0.011	0.019
CPI-SS0E25CE362	EGFR_TGFA	simple:P00533	simple:P01135	EGFR	TGFA	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.043	0.032	0.0	0.068	0.101	0.045	0.034	0.0	0.07	0.103	0.034	0.024	0.0	0.059	0.093	0.027	0.016	0.0	0.052	0.085
CPI-SS0055264F3	EGFR_TGFB1	simple:P00533	simple:P01137	EGFR	TGFB1	True	True	False	IMEx,InnateDB-All,MINT	False	0.0	0.0	0.0	0.0	0.0	0.057	0.389	0.048	0.074	0.053	0.06	0.391	0.05	0.076	0.055	0.049	0.381	0.04	0.065	0.045	0.042	0.373	0.032	0.058	0.038
CPI-SS00EDDD458	EGFR_MIF	simple:P00533	simple:P14174	EGFR	MIF	True	True	False	IMEx,InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	40.516	42.266	27.829	43.961	33.025	40.518	42.268	27.831	43.964	33.028	40.507	42.258	27.82	43.953	33.017	40.5	42.25	27.813	43.946	33.01
CPI-SS0481D83A4	EGFR_AREG	simple:P00533	simple:P15514	EGFR	AREG	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.024	0.0	0.0	0.0	0.0	0.026	0.0	0.0	0.0	0.0	0.016	0.0	0.0	0.0	0.0	0.008	0.0	0.0
CPI-SS0D4C221B8	ICAM1_AREG	simple:P05362	simple:P15514	ICAM1	AREG	True	True	False	InnateDB-All	False	0.0	0.0	0.049	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.056	0.0	0.0	0.0	0.0	0.159	0.0	0.0	0.0	0.0	0.319	0.0	0.0
CPI-SS08CA619FE	EGFR_GRN	simple:P00533	simple:P28799	EGFR	GRN	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.307	0.243	0.26	0.438	0.578	0.309	0.246	0.262	0.441	0.58	0.299	0.235	0.252	0.43	0.569	0.291	0.228	0.244	0.423	0.562
CPI-SS0DA033F03	TNFRSF1A_GRN	simple:P19438	simple:P28799	TNFRSF1A	GRN	True	True	False	IMEx,InnateDB-All,MINT	False	0.351	0.288	0.304	0.482	0.622	0.446	0.383	0.399	0.577	0.717	0.359	0.296	0.313	0.491	0.63	0.395	0.331	0.348	0.526	0.666	0.431	0.368	0.384	0.563	0.702
CPI-SS054D158CC	NTRK1_GRN	simple:P04629	simple:P28799	NTRK1	GRN	True	True	False	InnateDB-All	False	0.296	0.233	0.249	0.428	0.567	0.294	0.23	0.247	0.425	0.564	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.29	0.226	0.243	0.421	0.56
CPI-SS088A0A760	EGFR_COPA	simple:P00533	simple:P53621	EGFR	COPA	True	True	False	InnateDB-All	False	0.0	0.0	0.0	0.0	0.0	0.59	0.608	0.663	0.899	1.086	0.592	0.61	0.665	0.902	1.088	0.582	0.6	0.655	0.891	1.078	0.574	0.592	0.648	0.884	1.07
CPI-SS0E6E8A727	NTRK1_COPA	simple:P04629	simple:P53621	NTRK1	COPA	True	True	False	InnateDB-All	False	0.579	0.597	0.653	0.889	1.075	0.577	0.595	0.65	0.886	1.073	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.573	0.591	0.646	0.882	1.069
CPI-SS07F042076	EGFR_EPGN	simple:P00533	simple:Q6UW88	EGFR	EPGN	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.031	0.0	0.0	0.0	0.0	0.033	0.0	0.0	0.0	0.0	0.023	0.0	0.0	0.0	0.0	0.015	0.0	0.0	0.0	0.0
CPI-SS0C10824C7	EGFR_HBEGF	simple:P00533	simple:Q99075	EGFR	HBEGF	True	True	True	curated	False	0.0	0.0	0.0	0.0	0.0	0.077	0.117	0.399	0.061	0.083	0.079	0.119	0.402	0.063	0.085	0.069	0.108	0.391	0.053	0.074	0.061	0.101	0.384	0.045	0.067
CPI-SS0632A027A	CD44_HBEGF	simple:P16070	simple:Q99075	CD44	HBEGF	True	True	True	I2D,InnateDB-All	False	0.071	0.11	0.393	0.055	0.077	0.083	0.123	0.406	0.067	0.089	0.0	0.0	0.0	0.0	0.0	0.06	0.099	0.382	0.043	0.065	0.059	0.099	0.382	0.043	0.065
CPI-SS03133B4F2	TFRC_TNFSF13B	simple:P02786	simple:Q9Y275	TFRC	TNFSF13B	True	True	False	IMEx,IntAct	False	0.0	0.536	0.539	0.0	0.532	0.0	0.285	0.288	0.0	0.281	0.0	0.774	0.777	0.0	0.77	0.0	0.099	0.101	0.0	0.095	0.0	0.095	0.098	0.0	0.091
CPI-SS0F00D756A	CD40_TNFSF13B	simple:P25942	simple:Q9Y275	CD40	TNFSF13B	True	True	False	I2D,InnateDB	False	0.0	0.041	0.044	0.0	0.037	0.0	0.081	0.084	0.0	0.077	0.0	0.057	0.06	0.0	0.053	0.0	0.183	0.186	0.0	0.18	0.0	0.158	0.161	0.0	0.154
CPI-SS09C4FCB90	ICAM1_SPN	simple:P05362	simple:P16150	ICAM1	SPN	False	True	False	curated	False	0.049	0.053	0.053	0.044	0.0	0.056	0.06	0.06	0.051	0.0	0.056	0.061	0.061	0.052	0.0	0.159	0.163	0.164	0.154	0.0	0.319	0.323	0.323	0.314	0.0
CPI-SS0391D4602	NTRK1_NAMPT	simple:P04629	simple:P43490	NTRK1	NAMPT	True	True	False	InnateDB-All	False	0.79	0.487	0.7	0.4	0.564	0.787	0.484	0.698	0.397	0.561	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.783	0.48	0.694	0.393	0.557
CPI-SS00A6D366F	ADORA2A_NAMPT	simple:P29274	simple:P43490	ADORA2A	NAMPT	True	True	False	I2D,IMEx,InnateDB-All,MINT	False	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.789	0.486	0.699	0.399	0.563	0.787	0.484	0.697	0.396	0.561	0.783	0.48	0.693	0.393	0.557
CPI-SS05D1A6BEF	NTRK1_AIMP1	simple:P04629	simple:Q12904	NTRK1	AIMP1	True	True	False	InnateDB-All	False	2.139	2.544	2.341	2.254	2.26	2.136	2.542	2.339	2.251	2.258	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	2.132	2.538	2.335	2.247	2.253
CPI-SS0DE0A486F	NRP1_VEGFA	simple:O14786	simple:P15692	NRP1	VEGFA	True	True	False	curated	False	0.0	0.0	0.0	0.0	0.0	0.142	0.248	0.195	0.378	0.525	0.0	0.0	0.0	0.0	0.0	0.118	0.223	0.17	0.353	0.501	0.029	0.135	0.082	0.264	0.412
